
30 KHz

16:14:33.046 -> ...\AGS02MA_PPB_TIMING.ino
16:14:33.046 -> AGS02MA_LIB_VERSION: 0.3.0
16:14:33.046 -> 
16:14:33.046 -> BEGIN:	1
16:14:33.046 -> VERS:	117
16:14:33.093 -> 
16:14:33.093 -> Warming up (120 seconds = 24 dots)
16:14:38.107 -> ........................
16:16:33.243 -> MODE:	1	0
16:16:34.790 -> 32	549	10	0
16:16:36.325 -> 32	547	10	0
16:16:37.872 -> 31	545	10	0
16:16:39.418 -> 32	545	10	0
16:16:40.922 -> 33	544	10	0
16:16:42.469 -> 33	543	10	0
16:16:44.015 -> 33	542	10	0
16:16:45.562 -> 33	543	10	0
16:16:47.062 -> 33	536	10	0
16:16:48.608 -> 33	541	10	0
16:16:50.155 -> 33	537	10	0
16:16:51.701 -> 32	537	10	0
16:16:53.201 -> 33	536	10	0
16:16:54.747 -> 33	535	10	0
16:16:56.294 -> 33	534	10	0
16:16:57.810 -> 32	533	10	0
16:16:59.357 -> 32	531	10	0
