
10 KHz  (TWBR 198, TWSR 1)  just a test

16:08:08.836 -> ...\AGS02MA_PPB_TIMING.ino
16:20:01.824 -> AGS02MA_LIB_VERSION: 0.3.1
16:20:01.824 -> 
16:20:01.824 -> BEGIN:	1
16:20:01.824 -> VERS:	117
16:20:01.871 -> 
16:20:01.871 -> Warming up (120 seconds = 24 dots)
16:20:06.885 -> ........................
16:22:02.077 -> MODE:	1	0
16:22:03.624 -> 38	476	10	0
16:22:05.165 -> 38	474	10	0
16:22:06.712 -> 38	471	10	0
16:22:08.247 -> 38	474	10	0
16:22:09.794 -> 38	471	10	0
16:22:11.325 -> 38	472	10	0
16:22:12.871 -> 38	468	10	0
16:22:14.418 -> 37	465	10	0
16:22:15.917 -> 38	463	10	0
16:22:17.464 -> 38	463	10	0
16:22:19.016 -> 38	459	10	0
16:22:20.547 -> 37	460	10	0
16:22:22.094 -> 36	459	10	0
16:22:23.640 -> 38	461	10	0

