
25 KHz

16:08:08.836 -> ...\AGS02MA_PPB_TIMING.ino
16:08:08.836 -> AGS02MA_LIB_VERSION: 0.3.1
16:08:08.836 -> 
16:08:08.836 -> BEGIN:	1
16:08:08.836 -> VERS:	117
16:08:08.929 -> 
16:08:08.929 -> Warming up (120 seconds = 24 dots)
16:08:13.944 -> ........................
16:10:09.086 -> MODE:	1	0
16:10:10.633 -> 33	845	10	0
16:10:12.179 -> 32	846	10	0
16:10:13.726 -> 32	847	10	0
16:10:15.225 -> 33	847	10	0
16:10:16.772 -> 32	847	10	0
16:10:18.318 -> 33	841	10	0
16:10:19.849 -> 33	835	10	0
16:10:21.396 -> 34	829	10	0
16:10:22.895 -> 33	825	10	0
16:10:24.442 -> 33	828	10	0
16:10:25.988 -> 33	823	10	0
16:10:27.535 -> 34	824	10	0
16:10:29.081 -> 33	821	10	0
16:10:30.581 -> 33	821	10	0
16:10:32.127 -> 33	816	10	0
16:10:33.674 -> 34	826	10	0
16:10:35.221 -> 33	839	10	0
16:10:36.720 -> 33	855	10	0
16:10:38.267 -> 33	857	10	0
16:10:39.813 -> 33	857	10	0
