Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",32.258000,-27.940000,180.000000,top
"C2","10uF","C_0603_1608Metric",56.896000,-21.590000,90.000000,top
"C3","10uF","C_0603_1608Metric",62.738000,-21.844000,270.000000,top
"C4","0.1uF","C_0603_1608Metric",46.990000,-33.782000,90.000000,top
"C5","4.7pF","C_0603_1608Metric",50.706800,-21.547600,90.000000,top
"C6","4.7uF","C_0603_1608Metric",51.498500,-46.482000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",68.580000,-44.704000,180.000000,top
"C8","100pF","C_0603_1608Metric",52.230800,-32.571200,270.000000,top
"C9","1uF","C_0603_1608Metric",54.927500,-25.082500,90.000000,top
"C10","4.7pF","C_0603_1608Metric",65.341500,-40.195500,90.000000,top
"C11","100pF","C_0603_1608Metric",71.034800,-39.603200,90.000000,top
"C12","1uF","C_0603_1608Metric",56.780800,-30.931200,180.000000,top
"C13","1uF","C_0603_1608Metric",34.798000,-43.688000,180.000000,top
"C14","1uF","C_0603_1608Metric",34.811000,-49.022000,180.000000,top
"C15","0.1uF","C_0603_1608Metric",78.740000,-37.592000,0.000000,top
"C16","0.1uF","C_0603_1608Metric",32.258000,-29.718000,0.000000,top
"C17","100uF","CP_EIA-3528-15_AVX-H",83.248500,-30.670500,270.000000,top
"C18","1uF","C_0603_1608Metric",83.058000,-26.670000,180.000000,top
"C19","1uF","C_0603_1608Metric",65.341500,-36.957000,270.000000,top
"C20","1uF","C_0603_1608Metric",69.088000,-37.071000,270.000000,top
"C21","10uF","C_0603_1608Metric",48.260000,-45.593000,0.000000,top
"C22","0.1uF","C_0603_1608Metric",48.260000,-47.371000,180.000000,top
"C23","0.1uF","C_0603_1608Metric",40.386000,-54.102000,270.000000,top
"D1","MBR0540","D_SOD-123",48.641000,-22.415500,270.000000,top
"D2","MBR0540","D_SOD-123",50.673000,-35.433000,0.000000,top
"D3","MBR0540","D_SOD-123",56.134000,-35.433000,0.000000,top
"D4","MBR0540","D_SOD-123",56.959500,-46.799500,180.000000,top
"D5","MBR0540","D_SOD-123",73.434800,-42.503200,180.000000,top
"D6","MBR0540","D_SOD-123",68.834800,-41.303200,90.000000,top
"D7","1N5817","D_SOD-123",43.053000,-38.925500,270.000000,top
"D8","LED GREEN","LED_0805_2012Metric",43.561000,-54.737000,180.000000,top
"D9","LED RED","LED_0805_2012Metric",43.561000,-52.578000,180.000000,top
"D10","1N5817","D_SOD-123",36.576000,-52.959000,90.000000,top
"J1","XF2M-3315-1A","CONN_ED097OC4",116.137200,-37.727400,270.000000,top
"J2","C10418","USB_Micro-B_A01SB141B1-067",30.463000,-21.065000,180.000000,top
"L1","22uH","L_6.3x6.3_H3",37.575000,-30.717000,90.000000,top
"L2","22uH","L_6.3x6.3_H3",43.307000,-23.368000,180.000000,top
"L3","22uH","L_6.3x6.3_H3",54.673500,-52.006500,180.000000,top
"L4","22uH","L_6.3x6.3_H3",55.689500,-40.894000,90.000000,top
"Q1","AO3401A","SOT-23",48.069500,-41.592500,180.000000,top
"Q2","AO3401A","SOT-23",43.942000,-33.782000,90.000000,top
"Q3","MMBT3904","SOT-23",39.268400,-40.132000,180.000000,top
"Q4","MMBT3904","SOT-23",39.268400,-36.322000,180.000000,top
"Q5","AO3401A","SOT-23",78.740000,-42.672000,180.000000,top
"Q6","MMBT3904","SOT-23",69.850000,-32.258000,90.000000,top
"R1","10k","R_0805_2012Metric",35.814000,-39.344600,180.000000,top
"R2","100k","R_0805_2012Metric",36.449000,-21.844000,270.000000,top
"R3","1k","R_0805_2012Metric",47.347500,-54.673500,180.000000,top
"R4","2M","R_0805_2012Metric",52.802300,-21.547600,270.000000,top
"R5","120k","R_0805_2012Metric",52.802300,-25.040100,270.000000,top
"R6","560k","R_0805_2012Metric",54.135800,-32.319500,90.000000,top
"R7","39k","R_0805_2012Metric",54.135800,-28.812000,90.000000,top
"R8","1k","R_0805_2012Metric",47.371000,-52.578000,180.000000,top
"R9","6.8k","R_0805_2012Metric",42.164000,-43.180000,180.000000,top
"R10","10k","R_0805_2012Metric",78.740000,-39.624000,180.000000,top
"R11","10k","R_0805_2012Metric",35.814000,-35.534600,180.000000,top
"R12","1k","R_0805_2012Metric",70.612000,-28.448000,90.000000,top
"R13","10k","R_0805_2012Metric",111.887000,-50.800000,180.000000,top
"R14","390k","R_0805_2012Metric",67.056000,-27.686000,0.000000,top
"R15","10k","R_0805_2012Metric",74.549000,-32.679000,270.000000,top
"R16","300k","R_0805_2012Metric",63.349700,-38.854300,270.000000,top
"R17","27k","R_0805_2012Metric",61.049700,-38.854300,90.000000,top
"R18","110k","R_0805_2012Metric",73.034800,-39.503200,270.000000,top
"R19","10k","R_0805_2012Metric",75.234800,-39.503200,90.000000,top
"R20","10k","R_0805_2012Metric",46.141000,-36.766500,180.000000,top
"R21","680k","R_0805_2012Metric",43.688000,-56.896000,180.000000,top
"R22","150k","R_0805_2012Metric",40.132000,-56.896000,180.000000,top
"RV1","200k","EVM3ESX50B25",67.800000,-23.200000,270.000000,top
"U1","MCP1700-3302E_SOT23","SOT-23",59.690000,-21.590000,270.000000,top
"U2","LT1945","MSOP-10_3x3mm_P0.5mm",46.033200,-29.116800,180.000000,top
"U3","LT1945","MSOP-10_3x3mm_P0.5mm",62.230000,-45.974000,270.000000,top
"U4","XC6206PxxxMR","SOT-23",34.798000,-46.355000,180.000000,top
"U5","ESP32-WROVER","ESP32-WROVER",95.900000,-26.200000,90.000000,top
"U6","ED060XC5","X05A20H34G",70.866000,-54.483000,0.000000,top
"U7","LM358","SOP-8_3.76x4.96mm_P1.27mm",60.960000,-26.873200,270.000000,top
"U8","74HC4094-normal","SOIC-16_3.9x9.9mm_P1.27mm",77.216000,-25.069800,270.000000,top
"U9","MCP9700AT-ETT","SOT-23",116.649500,-24.638000,0.000000,top
"U10","ED060SC7","AXT334124",118.643400,-57.505600,180.000000,top
"U11","TP4056","TP4056_SOP-8-PP",42.291000,-47.244000,270.000000,top
"U12","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",29.591000,-36.068000,270.000000,top
